### This localisation file has been automatically generated ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#   <https://github.com/moretrim/trait-lineariser>            #;;;;;;;;;;;;;;
## UI tweaks;;;;;;;;;;;;;;
meticulousxnatural_born_leader;§h+1§!      §u–10%§!§h?§! Meticulous, natural born leader;§h+1§!      §u–10%§!§h?§! Méticuleux, leader naturel;§h+1§!      §u–10%§!§h?§! Genau, geborener anführer;;;;;;;;;;;
meticulousxmegalomaniac;§u–2§!      §u–10%§!   Meticulous, megalomaniac;§u–2§!      §u–10%§!   Méticuleux, mégalomane;§u–2§!      §u–10%§!   Genau, megalomane;;;;;;;;;;;
meticulousxhated;§h+1§! §h+1§! §u–10%§!§R¡¡¡§! Meticulous, hated;§h+1§! §h+1§! §u–10%§!§R¡¡¡§! Méticuleux, odieux;§h+1§! §h+1§! §u–10%§!§R¡¡¡§! Genau, gehasst;;;;;;;;;;;
meticulousxcursed_luck;§h+2§! §h+2§! §u–10%§!§R¡¡¡§! Meticulous, cursed luck;§h+2§! §h+2§! §u–10%§!§R¡¡¡§! Méticuleux, malchanceux;§h+2§! §h+2§! §u–10%§!§R¡¡¡§! Genau, vom pech verflucht;;;;;;;;;;;
meticulousxclueless;§u–1§!      §u–10%§!§R¡¡¡§! Meticulous, clueless;§u–1§!      §u–10%§!§R¡¡¡§! Méticuleux, ignorant;§u–1§!      §u–10%§!§R¡¡¡§! Genau, ahnungslos;;;;;;;;;;;
meticulousxdiplomat;          §u–15%§!   Meticulous, diplomat;          §u–15%§!   Méticuleux, diplomate;          §u–15%§!   Genau, diplomat;;;;;;;;;;;
meticulousxpowerful_friends;          §u–20%§!   Meticulous, powerful friends;          §u–20%§!   Méticuleux, amis puissants;          §u–20%§!   Genau, mächtige freunde;;;;;;;;;;;
meticulousximmoral;          §u–10%§!§u¿§! Meticulous, immoral;          §u–10%§!§u¿§! Méticuleux, immoral;          §u–10%§!§u¿§! Genau, unmoralisch;;;;;;;;;;;
meticulousxwomanizer;          §u–10%§!§G!!!§! Meticulous, womanizer;          §u–10%§!§G!!!§! Méticuleux, coureur de jupons;          §u–10%§!§G!!!§! Genau, schürzenjäger;;;;;;;;;;;
meticulousxwarmonger;          §h+10%§!§R¡¡¡§! Meticulous, warmonger;          §h+10%§!§R¡¡¡§! Méticuleux, belliciste;          §h+10%§!§R¡¡¡§! Genau, kriegstreiber;;;;;;;;;;;
meticulousxcorrupt;          §u–10%§!§R¡¡¡§! Meticulous, corrupt;          §u–10%§!§R¡¡¡§! Méticuleux, corrompu;          §u–10%§!§R¡¡¡§! Genau, korrupt;;;;;;;;;;;
meticulousxbootlicker;     §h+1§! §u–10%§!   Meticulous, bootlicker;     §h+1§! §u–10%§!   Méticuleux, lèche-bottes;     §h+1§! §u–10%§!   Genau, speichellecker;;;;;;;;;;;
meticulousxsycophant;          §u–10%§!§G!!!§! Meticulous, sycophant;          §u–10%§!§G!!!§! Méticuleux, flagorneur;          §u–10%§!§G!!!§! Genau, kriecher;;;;;;;;;;;
meticulousxtoady;§h+1§!      §u–10%§!§h?§! Meticulous, toady;§h+1§!      §u–10%§!§h?§! Méticuleux, flatteur;§h+1§!      §u–10%§!§h?§! Genau, schleimer;;;;;;;;;;;
meticulousxyesman;          §u–10%§!   Meticulous, yesman;          §u–10%§!   Méticuleux, béni-oui-oui;          §u–10%§!   Genau, jasager;;;;;;;;;;;
meticulousxbrownnoser;§h+1§!      §u–10%§!   Meticulous, brownnoser;§h+1§!      §u–10%§!   Méticuleux, lèche-cul;§h+1§!      §u–10%§!   Genau, stiefellecker;;;;;;;;;;;
meticulousxspoiled;§h+2§!      §u–10%§!   Meticulous, spoiled;§h+2§!      §u–10%§!   Méticuleux, gâté;§h+2§!      §u–10%§!   Genau, verwöhnt;;;;;;;;;;;
meticulousxschool_of_defense;     §G+3§! §u–10%§!   Meticulous, school of defense;     §G+3§! §u–10%§!   Méticuleux, école de défense;     §G+3§! §u–10%§!   Genau, schule der verteidigung;;;;;;;;;;;
meticulousxschool_of_offense;§h+1§!      §h+10%§!§h?§! Meticulous, school of offense;§h+1§!      §h+10%§!§h?§! Méticuleux, école d'attaque;§h+1§!      §h+10%§!§h?§! Genau, schule der offensive;;;;;;;;;;;
meticulousxschool_of_the_bayonet;§h+2§! §h+1§! §h+10%§!   Meticulous, school of the bayonet;§h+2§! §h+1§! §h+10%§!   Méticuleux, école de la baïonnette;§h+2§! §h+1§! §h+10%§!   Genau, schule des bajonetts;;;;;;;;;;;
meticulousxschool_of_firepower;§h+1§!      §u–10%§!§G!!!§! Meticulous, school of firepower;§h+1§!      §u–10%§!§G!!!§! Méticuleux, école de la puissance de feu;§h+1§!      §u–10%§!§G!!!§! Genau, schule der feuerkraft;;;;;;;;;;;
meticulousxartillerist;     §h+1§! §u–10%§!§h?§! Meticulous, artillerist;     §h+1§! §u–10%§!§h?§! Méticuleux, artilleur;     §h+1§! §u–10%§!§h?§! Genau, artillerist;;;;;;;;;;;
meticulousxuncommonly_young;§h+1§! §h+1§! §u–10%§!   Meticulous, uncommonly young;§h+1§! §h+1§! §u–10%§!   Méticuleux, singulièrement jeune;§h+1§! §h+1§! §u–10%§!   Genau, ungewöhnlich jung;;;;;;;;;;;
meticulousxsucker;§u–1§!      §u–10%§!   Meticulous, sucker;§u–1§!      §u–10%§!   Méticuleux, gogo;§u–1§!      §u–10%§!   Genau, trottel;;;;;;;;;;;
meticulousxsad_sack;§u–2§!      §u–10%§!   Meticulous, sad sack;§u–2§!      §u–10%§!   Méticuleux, raté;§u–2§!      §u–10%§!   Genau, trauriger sack;;;;;;;;;;;
meticulousxunfit;§u–2§!      §u–10%§!§R¡¡¡§! Meticulous, unfit;§u–2§!      §u–10%§!§R¡¡¡§! Méticuleux, inapte;§u–2§!      §u–10%§!§R¡¡¡§! Genau, ungeeignet;;;;;;;;;;;
meticulousxunqualified;          §u–20%§!   Meticulous, unqualified;          §u–20%§!   Méticuleux, non qualifié;          §u–20%§!   Genau, unqualifiziert;;;;;;;;;;;
meticulousxpawn;          §u–10%§!   Meticulous, pawn;          §u–10%§!   Méticuleux, pion;          §u–10%§!   Genau, pfand;;;;;;;;;;;
meticulousxelderly;          §u–10%§!   Meticulous, elderly;          §u–10%§!   Méticuleux, âgé;          §u–10%§!   Genau, älter;;;;;;;;;;;
meticulousxincompetent;          §u–10%§!   Meticulous, incompetent;          §u–10%§!   Méticuleux, incompétent;          §u–10%§!   Genau, inkompetent;;;;;;;;;;;
openmindedxnationalist;§h+1§!              §G!!!§! Openminded, nationalist;;;;;;;;;;;;;
openmindedxwar_college;§h+1§!              §h?§! Openminded, war college;§h+1§!              §h?§! Ouvert d'esprit, école militaire;§h+1§!              §h?§! Offen, militärakademie;;;;;;;;;;;
openmindedxcavalry_school;§h+2§!              §h?§! Openminded, cavalry school;§h+2§!              §h?§! Ouvert d'esprit, école de cavalerie;§h+2§!              §h?§! Offen, kavallerieschule;;;;;;;;;;;
openmindedxengineer;          §h  +5%§!§h?§! Openminded, engineer;          §h  +5%§!§h?§! Ouvert d'esprit, génie;          §h  +5%§!§h?§! Offen, ingenieur;;;;;;;;;;;
openmindedxarmchair_general;          §h+10%§!§h?§! Openminded, armchair general;          §h+10%§!§h?§! Ouvert d'esprit, général de façade;          §h+10%§!§h?§! Offen, sesselgeneral;;;;;;;;;;;
openmindedxbureaucrat_speed;          §h+15%§!§h?§! Openminded, bureaucrat speed;          §h+15%§!§h?§! Ouvert d'esprit, vitesse de bureaucrate;          §h+15%§!§h?§! Offen, bürokratische geschwindigkeit;;;;;;;;;;;
openmindedxgenerals_aide;     §h+1§!         §h?§! Openminded, general's aide;     §h+1§!         §h?§! Ouvert d'esprit, aide de camp;     §h+1§!         §h?§! Offen, generalsadjutant;;;;;;;;;;;
openmindedxamateur;     §u–1§! §u–25%§!§h?§! Openminded, amateur;     §u–1§! §u–25%§!§h?§! Ouvert d'esprit, amateur;     §u–1§! §u–25%§!§h?§! Offen, amateur;;;;;;;;;;;
openmindedxmadman;                  §u¿§! Openminded, madman;                  §u¿§! Ouvert d'esprit, fou;                  §u¿§! Offen, irrer;;;;;;;;;;;
openmindedxaristocrat;                  §G!!!§! Openminded, aristocrat;                  §G!!!§! Ouvert d'esprit, aristocrate;                  §G!!!§! Offen, aristokrat;;;;;;;;;;;
openmindedxdrillmaster;                  §G!!!§! Openminded, drillmaster;                  §G!!!§! Ouvert d'esprit, sergent instructeur;                  §G!!!§! Offen, zuchtmeister;;;;;;;;;;;
openmindedxbutcher;                     Openminded, butcher;                     Ouvert d'esprit, boucher;                     Offen, schlächter;;;;;;;;;;;
openmindedxexranker;                     Openminded, exranker;                     Ouvert d'esprit, ancien militaire;                     Offen, ex-gefreiter;;;;;;;;;;;
openmindedxadventurer;§h+2§!              §h?§! Openminded, adventurer;§h+2§!              §h?§! Ouvert d'esprit, aventurier;§h+2§!              §h?§! Offen, abenteurer;;;;;;;;;;;
openmindedxdebutante;                  §h?§! Openminded, debutante;                  §h?§! Ouvert d'esprit, débutant;                  §h?§! Offen, debütant;;;;;;;;;;;
openmindedxcolonial_b;     §u–2§! §h+20%§!   Openminded, colonial;     §u–2§! §h+20%§!   Ouvert d'esprit, colonial;     §u–2§! §h+20%§!   Offen, kolonial;;;;;;;;;;;
openmindedxdisgraced;                  §h?§! Openminded, disgraced;                  §h?§! Ouvert d'esprit, déshonoré;                  §h?§! Offen, in ungnade gefallener;;;;;;;;;;;
openmindedxpriest;                  §h?§! Openminded, priest;                  §h?§! Ouvert d'esprit, prêtre;                  §h?§! Offen, priester;;;;;;;;;;;
openmindedxrising_star;                  §h?§! Openminded, rising star;                  §h?§! Ouvert d'esprit, étoile montante;                  §h?§! Offen, aufsteigender stern;;;;;;;;;;;
openmindedxpolitician;                     Openminded, politician;                     Ouvert d'esprit, politicien;                     Offen, politiker;;;;;;;;;;;
openmindedxpoet;§u–1§!              §G!!!§! Openminded, poet;§u–1§!              §G!!!§! Ouvert d'esprit, poète;§u–1§!              §G!!!§! Offen, poet;;;;;;;;;;;
openmindedxcartographer;          §G+40%§!§h?§! Openminded, cartographer;          §G+40%§!§h?§! Ouvert d'esprit, cartographe;          §G+40%§!§h?§! Offen, kartograf;;;;;;;;;;;
openmindedxprofessor;§u–1§! §u–1§!         §G!!!§! Openminded, professor;§u–1§! §u–1§!         §G!!!§! Ouvert d'esprit, professeur;§u–1§! §u–1§!         §G!!!§! Offen, professor;;;;;;;;;;;
openmindedxold_school;§h+1§! §u–2§!         §G!!!§! Openminded, old school;§h+1§! §u–2§!         §G!!!§! Ouvert d'esprit, vieille école;§h+1§! §u–2§!         §G!!!§! Offen, alte schule;;;;;;;;;;;
openmindedxeccentric_genius;§h+2§!                 Openminded, eccentric genius;§h+2§!                 Ouvert d'esprit, génie excentrique;§h+2§!                 Offen, exzentrisches genie;;;;;;;;;;;
openmindedxgifted_administrator;                  §G!!!§! Openminded, gifted administrator;                  §G!!!§! Ouvert d'esprit, administrateur doué;                  §G!!!§! Offen, begabter administrator;;;;;;;;;;;
openmindedxinnovative_tactician;§h+1§!              §h?§! Openminded, innovative tactician;§h+1§!              §h?§! Ouvert d'esprit, tacticien novateur;§h+1§!              §h?§! Offen, innovativer taktiker;;;;;;;;;;;
openmindedxexpert_raider;§h+2§!              §h?§! Openminded, expert raider;§h+2§!              §h?§! Ouvert d'esprit, commando expérimenté;§h+2§!              §h?§! Offen, überfallexperte;;;;;;;;;;;
openmindedxnatural_born_leader;§h+1§!              §G!!!§! Openminded, natural born leader;§h+1§!              §G!!!§! Ouvert d'esprit, leader naturel;§h+1§!              §G!!!§! Offen, geborener anführer;;;;;;;;;;;
openmindedxmegalomaniac;§u–2§!              §h?§! Openminded, megalomaniac;§u–2§!              §h?§! Ouvert d'esprit, mégalomane;§u–2§!              §h?§! Offen, megalomane;;;;;;;;;;;
openmindedxhated;§h+1§! §h+1§!         §u¿§! Openminded, hated;§h+1§! §h+1§!         §u¿§! Ouvert d'esprit, odieux;§h+1§! §h+1§!         §u¿§! Offen, gehasst;;;;;;;;;;;
openmindedxcursed_luck;§h+2§! §h+2§!         §u¿§! Openminded, cursed luck;§h+2§! §h+2§!         §u¿§! Ouvert d'esprit, malchanceux;§h+2§! §h+2§!         §u¿§! Offen, vom pech verflucht;;;;;;;;;;;
openmindedxclueless;§u–1§!              §u¿§! Openminded, clueless;§u–1§!              §u¿§! Ouvert d'esprit, ignorant;§u–1§!              §u¿§! Offen, ahnungslos;;;;;;;;;;;
openmindedxdiplomat;          §u  –5%§!§h?§! Openminded, diplomat;          §u  –5%§!§h?§! Ouvert d'esprit, diplomate;          §u  –5%§!§h?§! Offen, diplomat;;;;;;;;;;;
openmindedxpowerful_friends;          §u–10%§!§h?§! Openminded, powerful friends;          §u–10%§!§h?§! Ouvert d'esprit, amis puissants;          §u–10%§!§h?§! Offen, mächtige freunde;;;;;;;;;;;
openmindedximmoral;                  §u¿§! Openminded, immoral;                  §u¿§! Ouvert d'esprit, immoral;                  §u¿§! Offen, unmoralisch;;;;;;;;;;;
openmindedxwomanizer;                  §G!!!§! Openminded, womanizer;                  §G!!!§! Ouvert d'esprit, coureur de jupons;                  §G!!!§! Offen, schürzenjäger;;;;;;;;;;;
openmindedxwarmonger;          §h+10%§!§u¿§! Openminded, warmonger;          §h+10%§!§u¿§! Ouvert d'esprit, belliciste;          §h+10%§!§u¿§! Offen, kriegstreiber;;;;;;;;;;;
openmindedxcorrupt;                  §R¡¡¡§! Openminded, corrupt;                  §R¡¡¡§! Ouvert d'esprit, corrompu;                  §R¡¡¡§! Offen, korrupt;;;;;;;;;;;
openmindedxbootlicker;     §h+1§!         §h?§! Openminded, bootlicker;     §h+1§!         §h?§! Ouvert d'esprit, lèche-bottes;     §h+1§!         §h?§! Offen, speichellecker;;;;;;;;;;;
openmindedxsycophant;                  §G!!!§! Openminded, sycophant;                  §G!!!§! Ouvert d'esprit, flagorneur;                  §G!!!§! Offen, kriecher;;;;;;;;;;;
openmindedxtoady;§h+1§!              §h?§! Openminded, toady;§h+1§!              §h?§! Ouvert d'esprit, flatteur;§h+1§!              §h?§! Offen, schleimer;;;;;;;;;;;
openmindedxyesman;                  §h?§! Openminded, yesman;                  §h?§! Ouvert d'esprit, béni-oui-oui;                  §h?§! Offen, jasager;;;;;;;;;;;
openmindedxbrownnoser;§h+1§!              §h?§! Openminded, brownnoser;§h+1§!              §h?§! Ouvert d'esprit, lèche-cul;§h+1§!              §h?§! Offen, stiefellecker;;;;;;;;;;;
openmindedxspoiled;§h+2§!              §h?§! Openminded, spoiled;§h+2§!              §h?§! Ouvert d'esprit, gâté;§h+2§!              §h?§! Offen, verwöhnt;;;;;;;;;;;
openmindedxschool_of_defense;     §G+3§!         §h?§! Openminded, school of defense;     §G+3§!         §h?§! Ouvert d'esprit, école de défense;     §G+3§!         §h?§! Offen, schule der verteidigung;;;;;;;;;;;
openmindedxschool_of_offense;§h+1§!      §h+10%§!§G!!!§! Openminded, school of offense;§h+1§!      §h+10%§!§G!!!§! Ouvert d'esprit, école d'attaque;§h+1§!      §h+10%§!§G!!!§! Offen, schule der offensive;;;;;;;;;;;
openmindedxschool_of_the_bayonet;§h+2§! §h+1§! §h+10%§!§h?§! Openminded, school of the bayonet;§h+2§! §h+1§! §h+10%§!§h?§! Ouvert d'esprit, école de la baïonnette;§h+2§! §h+1§! §h+10%§!§h?§! Offen, schule des bajonetts;;;;;;;;;;;
openmindedxschool_of_firepower;§h+1§!              §G!!!§! Openminded, school of firepower;§h+1§!              §G!!!§! Ouvert d'esprit, école de la puissance de feu;§h+1§!              §G!!!§! Offen, schule der feuerkraft;;;;;;;;;;;
openmindedxartillerist;     §h+1§!         §G!!!§! Openminded, artillerist;     §h+1§!         §G!!!§! Ouvert d'esprit, artilleur;     §h+1§!         §G!!!§! Offen, artillerist;;;;;;;;;;;
openmindedxuncommonly_young;§h+1§! §h+1§!         §h?§! Openminded, uncommonly young;§h+1§! §h+1§!         §h?§! Ouvert d'esprit, singulièrement jeune;§h+1§! §h+1§!         §h?§! Offen, ungewöhnlich jung;;;;;;;;;;;
openmindedxsucker;§u–1§!              §h?§! Openminded, sucker;§u–1§!              §h?§! Ouvert d'esprit, gogo;§u–1§!              §h?§! Offen, trottel;;;;;;;;;;;
openmindedxsad_sack;§u–2§!              §h?§! Openminded, sad sack;§u–2§!              §h?§! Ouvert d'esprit, raté;§u–2§!              §h?§! Offen, trauriger sack;;;;;;;;;;;
openmindedxunfit;§u–2§!              §u¿§! Openminded, unfit;§u–2§!              §u¿§! Ouvert d'esprit, inapte;§u–2§!              §u¿§! Offen, ungeeignet;;;;;;;;;;;
openmindedxunqualified;          §u–10%§!   Openminded, unqualified;          §u–10%§!   Ouvert d'esprit, non qualifié;          §u–10%§!   Offen, unqualifiziert;;;;;;;;;;;
openmindedxpawn;                  §h?§! Openminded, pawn;                  §h?§! Ouvert d'esprit, pion;                  §h?§! Offen, pfand;;;;;;;;;;;
openmindedxelderly;                  §h?§! Openminded, elderly;                  §h?§! Ouvert d'esprit, âgé;                  §h?§! Offen, älter;;;;;;;;;;;
openmindedxincompetent;                  §h?§! Openminded, incompetent;                  §h?§! Ouvert d'esprit, incompétent;                  §h?§! Offen, inkompetent;;;;;;;;;;;
charismaticxnationalist;§h+1§!              §G!!!§! Charismatic, nationalist;;;;;;;;;;;;;
charismaticxwar_college;§h+1§!              §G!!!§! Charismatic, war college;§h+1§!              §G!!!§! Charismatique, école militaire;§h+1§!              §G!!!§! Charismatisch, militärakademie;;;;;;;;;;;
charismaticxcavalry_school;§h+2§!              §G!!!§! Charismatic, cavalry school;§h+2§!              §G!!!§! Charismatique, école de cavalerie;§h+2§!              §G!!!§! Charismatisch, kavallerieschule;;;;;;;;;;;
charismaticxengineer;          §h  +5%§!§G!!!§! Charismatic, engineer;          §h  +5%§!§G!!!§! Charismatique, génie;          §h  +5%§!§G!!!§! Charismatisch, ingenieur;;;;;;;;;;;
charismaticxarmchair_general;          §h+10%§!§G!!!§! Charismatic, armchair general;          §h+10%§!§G!!!§! Charismatique, général de façade;          §h+10%§!§G!!!§! Charismatisch, sesselgeneral;;;;;;;;;;;
charismaticxbureaucrat_speed;          §h+15%§!§G!!!§! Charismatic, bureaucrat speed;          §h+15%§!§G!!!§! Charismatique, vitesse de bureaucrate;          §h+15%§!§G!!!§! Charismatisch, bürokratische geschwindigkeit;;;;;;;;;;;
charismaticxgenerals_aide;     §h+1§!         §G!!!§! Charismatic, general's aide;     §h+1§!         §G!!!§! Charismatique, aide de camp;     §h+1§!         §G!!!§! Charismatisch, generalsadjutant;;;;;;;;;;;
charismaticxamateur;     §u–1§! §u–25%§!§G!!!§! Charismatic, amateur;     §u–1§! §u–25%§!§G!!!§! Charismatique, amateur;     §u–1§! §u–25%§!§G!!!§! Charismatisch, amateur;;;;;;;;;;;
charismaticxmadman;                  §h?§! Charismatic, madman;                  §h?§! Charismatique, fou;                  §h?§! Charismatisch, irrer;;;;;;;;;;;
charismaticxaristocrat;                  §G!!!§! Charismatic, aristocrat;                  §G!!!§! Charismatique, aristocrate;                  §G!!!§! Charismatisch, aristokrat;;;;;;;;;;;
charismaticxdrillmaster;                  §G!!!§! Charismatic, drillmaster;                  §G!!!§! Charismatique, sergent instructeur;                  §G!!!§! Charismatisch, zuchtmeister;;;;;;;;;;;
charismaticxbutcher;                  §G!!!§! Charismatic, butcher;                  §G!!!§! Charismatique, boucher;                  §G!!!§! Charismatisch, schlächter;;;;;;;;;;;
charismaticxexranker;                  §h?§! Charismatic, exranker;                  §h?§! Charismatique, ancien militaire;                  §h?§! Charismatisch, ex-gefreiter;;;;;;;;;;;
charismaticxadventurer;§h+2§!              §G!!!§! Charismatic, adventurer;§h+2§!              §G!!!§! Charismatique, aventurier;§h+2§!              §G!!!§! Charismatisch, abenteurer;;;;;;;;;;;
charismaticxdebutante;                  §G!!!§! Charismatic, debutante;                  §G!!!§! Charismatique, débutant;                  §G!!!§! Charismatisch, debütant;;;;;;;;;;;
charismaticxcolonial_b;     §u–2§! §h+20%§!§G!!!§! Charismatic, colonial;     §u–2§! §h+20%§!§G!!!§! Charismatique, colonial;     §u–2§! §h+20%§!§G!!!§! Charismatisch, kolonial;;;;;;;;;;;
charismaticxdisgraced;                  §G!!!§! Charismatic, disgraced;                  §G!!!§! Charismatique, déshonoré;                  §G!!!§! Charismatisch, in ungnade gefallener;;;;;;;;;;;
charismaticxpriest;                  §G!!!§! Charismatic, priest;                  §G!!!§! Charismatique, prêtre;                  §G!!!§! Charismatisch, priester;;;;;;;;;;;
charismaticxrising_star;                  §G!!!§! Charismatic, rising star;                  §G!!!§! Charismatique, étoile montante;                  §G!!!§! Charismatisch, aufsteigender stern;;;;;;;;;;;
charismaticxpolitician;                  §h?§! Charismatic, politician;                  §h?§! Charismatique, politicien;                  §h?§! Charismatisch, politiker;;;;;;;;;;;
charismaticxpoet;§u–1§!              §G!!!§! Charismatic, poet;§u–1§!              §G!!!§! Charismatique, poète;§u–1§!              §G!!!§! Charismatisch, poet;;;;;;;;;;;
charismaticxcartographer;          §G+40%§!§G!!!§! Charismatic, cartographer;          §G+40%§!§G!!!§! Charismatique, cartographe;          §G+40%§!§G!!!§! Charismatisch, kartograf;;;;;;;;;;;
charismaticxprofessor;§u–1§! §u–1§!         §G!!!§! Charismatic, professor;§u–1§! §u–1§!         §G!!!§! Charismatique, professeur;§u–1§! §u–1§!         §G!!!§! Charismatisch, professor;;;;;;;;;;;
charismaticxold_school;§h+1§! §u–2§!         §G!!!§! Charismatic, old school;§h+1§! §u–2§!         §G!!!§! Charismatique, vieille école;§h+1§! §u–2§!         §G!!!§! Charismatisch, alte schule;;;;;;;;;;;
charismaticxeccentric_genius;§h+2§!              §G!!!§! Charismatic, eccentric genius;§h+2§!              §G!!!§! Charismatique, génie excentrique;§h+2§!              §G!!!§! Charismatisch, exzentrisches genie;;;;;;;;;;;
charismaticxgifted_administrator;                  §G!!!§! Charismatic, gifted administrator;                  §G!!!§! Charismatique, administrateur doué;                  §G!!!§! Charismatisch, begabter administrator;;;;;;;;;;;
charismaticxinnovative_tactician;§h+1§!              §G!!!§! Charismatic, innovative tactician;§h+1§!              §G!!!§! Charismatique, tacticien novateur;§h+1§!              §G!!!§! Charismatisch, innovativer taktiker;;;;;;;;;;;
charismaticxexpert_raider;§h+2§!              §G!!!§! Charismatic, expert raider;§h+2§!              §G!!!§! Charismatique, commando expérimenté;§h+2§!              §G!!!§! Charismatisch, überfallexperte;;;;;;;;;;;
charismaticxnatural_born_leader;§h+1§!              §G!!!§! Charismatic, natural born leader;§h+1§!              §G!!!§! Charismatique, leader naturel;§h+1§!              §G!!!§! Charismatisch, geborener anführer;;;;;;;;;;;
charismaticxmegalomaniac;§u–2§!              §G!!!§! Charismatic, megalomaniac;§u–2§!              §G!!!§! Charismatique, mégalomane;§u–2§!              §G!!!§! Charismatisch, megalomane;;;;;;;;;;;
charismaticxhated;§h+1§! §h+1§!         §R¡¡¡§! Charismatic, hated;§h+1§! §h+1§!         §R¡¡¡§! Charismatique, odieux;§h+1§! §h+1§!         §R¡¡¡§! Charismatisch, gehasst;;;;;;;;;;;
charismaticxcursed_luck;§h+2§! §h+2§!         §R¡¡¡§! Charismatic, cursed luck;§h+2§! §h+2§!         §R¡¡¡§! Charismatique, malchanceux;§h+2§! §h+2§!         §R¡¡¡§! Charismatisch, vom pech verflucht;;;;;;;;;;;
charismaticxclueless;§u–1§!              §R¡¡¡§! Charismatic, clueless;§u–1§!              §R¡¡¡§! Charismatique, ignorant;§u–1§!              §R¡¡¡§! Charismatisch, ahnungslos;;;;;;;;;;;
charismaticxdiplomat;          §u  –5%§!§G!!!§! Charismatic, diplomat;          §u  –5%§!§G!!!§! Charismatique, diplomate;          §u  –5%§!§G!!!§! Charismatisch, diplomat;;;;;;;;;;;
charismaticxpowerful_friends;          §u–10%§!§G!!!§! Charismatic, powerful friends;          §u–10%§!§G!!!§! Charismatique, amis puissants;          §u–10%§!§G!!!§! Charismatisch, mächtige freunde;;;;;;;;;;;
charismaticximmoral;                  §h?§! Charismatic, immoral;                  §h?§! Charismatique, immoral;                  §h?§! Charismatisch, unmoralisch;;;;;;;;;;;
charismaticxwomanizer;                  §G!!!§! Charismatic, womanizer;                  §G!!!§! Charismatique, coureur de jupons;                  §G!!!§! Charismatisch, schürzenjäger;;;;;;;;;;;
charismaticxwarmonger;          §h+10%§!§R¡¡¡§! Charismatic, warmonger;          §h+10%§!§R¡¡¡§! Charismatique, belliciste;          §h+10%§!§R¡¡¡§! Charismatisch, kriegstreiber;;;;;;;;;;;
charismaticxcorrupt;                  §R¡¡¡§! Charismatic, corrupt;                  §R¡¡¡§! Charismatique, corrompu;                  §R¡¡¡§! Charismatisch, korrupt;;;;;;;;;;;
charismaticxbootlicker;     §h+1§!         §G!!!§! Charismatic, bootlicker;     §h+1§!         §G!!!§! Charismatique, lèche-bottes;     §h+1§!         §G!!!§! Charismatisch, speichellecker;;;;;;;;;;;
charismaticxsycophant;                  §G!!!§! Charismatic, sycophant;                  §G!!!§! Charismatique, flagorneur;                  §G!!!§! Charismatisch, kriecher;;;;;;;;;;;
charismaticxtoady;§h+1§!              §G!!!§! Charismatic, toady;§h+1§!              §G!!!§! Charismatique, flatteur;§h+1§!              §G!!!§! Charismatisch, schleimer;;;;;;;;;;;
charismaticxyesman;                  §G!!!§! Charismatic, yesman;                  §G!!!§! Charismatique, béni-oui-oui;                  §G!!!§! Charismatisch, jasager;;;;;;;;;;;
charismaticxbrownnoser;§h+1§!              §G!!!§! Charismatic, brownnoser;§h+1§!              §G!!!§! Charismatique, lèche-cul;§h+1§!              §G!!!§! Charismatisch, stiefellecker;;;;;;;;;;;
charismaticxspoiled;§h+2§!              §G!!!§! Charismatic, spoiled;§h+2§!              §G!!!§! Charismatique, gâté;§h+2§!              §G!!!§! Charismatisch, verwöhnt;;;;;;;;;;;
charismaticxschool_of_defense;     §G+3§!         §G!!!§! Charismatic, school of defense;     §G+3§!         §G!!!§! Charismatique, école de défense;     §G+3§!         §G!!!§! Charismatisch, schule der verteidigung;;;;;;;;;;;
charismaticxschool_of_offense;§h+1§!      §h+10%§!§G!!!§! Charismatic, school of offense;§h+1§!      §h+10%§!§G!!!§! Charismatique, école d'attaque;§h+1§!      §h+10%§!§G!!!§! Charismatisch, schule der offensive;;;;;;;;;;;
charismaticxschool_of_the_bayonet;§h+2§! §h+1§! §h+10%§!§G!!!§! Charismatic, school of the bayonet;§h+2§! §h+1§! §h+10%§!§G!!!§! Charismatique, école de la baïonnette;§h+2§! §h+1§! §h+10%§!§G!!!§! Charismatisch, schule des bajonetts;;;;;;;;;;;
charismaticxschool_of_firepower;§h+1§!              §G!!!§! Charismatic, school of firepower;§h+1§!              §G!!!§! Charismatique, école de la puissance de feu;§h+1§!              §G!!!§! Charismatisch, schule der feuerkraft;;;;;;;;;;;
charismaticxartillerist;     §h+1§!         §G!!!§! Charismatic, artillerist;     §h+1§!         §G!!!§! Charismatique, artilleur;     §h+1§!         §G!!!§! Charismatisch, artillerist;;;;;;;;;;;
charismaticxuncommonly_young;§h+1§! §h+1§!         §G!!!§! Charismatic, uncommonly young;§h+1§! §h+1§!         §G!!!§! Charismatique, singulièrement jeune;§h+1§! §h+1§!         §G!!!§! Charismatisch, ungewöhnlich jung;;;;;;;;;;;
charismaticxsucker;§u–1§!              §G!!!§! Charismatic, sucker;§u–1§!              §G!!!§! Charismatique, gogo;§u–1§!              §G!!!§! Charismatisch, trottel;;;;;;;;;;;
